PartitionKey,RowKey,Timestamp,Value
0.GEP.Cumulus.Reports.P2P.Resources.en-US,P2P_PO_SendApprovalFailure,12/8/2016,Error in send approval
0.GEP.Cumulus.Reports.P2P.Resources.en-US,P2P_PO_SaveOrderFailure,12/8/2016,Error while saving order.
0.GEP.Cumulus.Reports.P2P.Resources.en-US,P2P_PO_AcknowledgeOrder,10/8/2016,Acknowledge Order
0.GEP.Cumulus.Reports.P2P.Resources.en-US,P2P_PO_OrderAcknowledgedSuccessfully,10/8/2016,The Order is acknowledged.
0.GEP.Cumulus.Reports.P2P.Resources.en-US,P2P_PO_OrderAcknowledgedError,10/8/2016,An internal error occurred while acknowledging orders. Contact the helpdesk.
0.GEP.Cumulus.Reports.P2P.Resources.en-US,P2P_PO_OrderSavedSuccess,10/8/2016,Order Saved Successfully
0.GEP.Cumulus.Reports.P2P.Resources.en-US,P2P_PO_OrderSavedError,10/8/2016,An internal error occurred while saving orders. Contact the helpdesk.
0.GEP.Cumulus.Reports.P2P.Resources.en-US,P2P_TrackStatus,18/8/2016,Track Status
0.GEP.Cumulus.Reports.P2P.Resources.en-US,P2P_PO_OrderSubmittedSuccessfully,19/08/2016,The document is submitted.
0.GEP.Cumulus.Reports.P2P.Resources.en-US,P2P_Send_To_Supplier,17/08/16,SEND TO SUPPLIER
0.GEP.Cumulus.Reports.P2P.Resources.en-US,P2P_Order_ErroroccuredwhileSendingOrdertoPartner,17/08/16,An internal error occurred while sending the Order to the Supplier. Contact the helpdesk.
0.GEP.Cumulus.Reports.P2P.Resources.en-US,P2P_Order_OrderSenttoBuyerSuccessfully,17/08/16,Order sent to buyer successfully.
0.GEP.Cumulus.Reports.P2P.Resources.en-US,P2P_Order_ErroroccuredwhileSendingOrdertoBuyer,20/09/16,An internal error occurred while sending the Order to the Buyer. Contact the helpdesk.
0.GEP.Cumulus.Reports.P2P.Resources.en-US,P2P_Order_OrderSenttoPartnerSuccessfully,17/08/16,The Order is sent to Supplier.
0.GEP.Cumulus.Reports.P2P.Resources.en-US,P2P_PO_LeadTime,23/08/16,Lead Time
0.GEP.Cumulus.Reports.P2P.Resources.en-US,P2P_PO_EstimatedDeliveryDate,23/08/16,Estimated Delivery Date
0.GEP.Cumulus.Reports.P2P.Resources.en-US,P2P_PO_PromisedDate,23/08/16,Promised Date
0.GEP.Cumulus.Reports.P2P.Resources.en-US,P2P_Order_RequisitionNumber,1/09/16,Requisition Number
0.GEP.Cumulus.Reports.P2P.Resources.en-US,P2P_PO_ERS,31/08/2016,ERS
0.GEP.Cumulus.Reports.P2P.Resources.en-US,P2P_PO_LOB,09/09/2016,LOB
0.GEP.Cumulus.Reports.P2P.Resources.en-US,P2P_PO_Organization,09/09/2016,Organization
0.GEP.Cumulus.Reports.P2P.Resources.en-US,P2P_PO_GroupCompany,09/09/2016,Group Company
0.GEP.Cumulus.Reports.P2P.Resources.en-US,P2P_PO_Site,09/09/2016,Site
0.GEP.Cumulus.Reports.P2P.Resources.en-US,P2P_PO_SubAccount,09/09/2016,Sub Account
0.GEP.Cumulus.Reports.P2P.Resources.en-US,P2P_PO_ProjectCode,09/09/2016,Project Code
0.GEP.Cumulus.Reports.P2P.Resources.en-US,P2P_PO_OperationUnit,09/09/2016,Operation Unit
0.GEP.Cumulus.Reports.P2P.Resources.en-US,P2P_PO_Manufacturer_Details,09/09/2016,Manufacturer Details
0.GEP.Cumulus.Reports.P2P.Resources.en-US,P2P_PO_ERSConfirmationMessage,31/08/2016,The blankets referenced on lines allow automatic creation of invoices upon receipt of goods or services. Consider enabling it on the purchase order.
0.GEP.Cumulus.Reports.P2P.Resources.en-US,P2P_PO_Invoice,31/08/2016,Create Invoice
0.GEP.Cumulus.Reports.P2P.Resources.en-US,P2P_PO_CreateInvoiceMessage,06/09/2016,You cannot manually create an invoice against the purchase order because the purchase order is enabled for automatic creation of invoices upon receipt of goods or services.
0.GEP.Cumulus.Reports.P2P.Resources.en-US,P2P_WithdrawOrder,07/09/2016,Withdraw Order
0.GEP.Cumulus.Reports.P2P.Resources.en-US,P2P_PO_withdrawOrderMessage,07/09/2016,The document is withdrawn.
0.GEP.Cumulus.Reports.P2P.Resources.en-US,P2P_PO_withdrawOrderError,07/09/2016,
Une erreur interne s'est produite lors du retrait de l'ordre. Contactez le helpdesk.
0.GEP.Cumulus.Reports.P2P.Resources.en-US,P2P_PO_AddLineButton,07/09/2016,Add Button
0.GEP.Cumulus.Reports.P2P.Resources.en-US,P2P_PO_DeleteButton,07/09/2016,Delete Button
0.GEP.Cumulus.Reports.P2P.Resources.en-US,P2P_PO_ManageColumnButton,07/09/2016,Manage Column Button
0.GEP.Cumulus.Reports.P2P.Resources.en-US,P2P_PO_DuplicateLineItemButton,07/09/2016,Duplicate Line Item
0.GEP.Cumulus.Reports.P2P.Resources.en-US,P2P_PO_CommentsAndAttachments,07/09/2016,Comments
0.GEP.Cumulus.Reports.P2P.Resources.en-US,P2P_PO_PurchaseTypeChange,07/09/2016,Attributes not relevant to the new Purchase Type selection will be deleted. Do you want to continue?
0.GEP.Cumulus.Reports.P2P.Resources.en-US,P2P_PO_ExternalChangeOrder,14/09/2016,External Change Order
0.GEP.Cumulus.Reports.P2P.Resources.en-US,P2P_PO_ExternalChangeOrderCreatedSuccessfully,14/09/2016,A change order is created.
0.GEP.Cumulus.Reports.P2P.Resources.en-US,P2P_PO_ErrorOccuredWhileCreatingExternalChangeOrder,14/09/2016,Error Occured While Creating Change Order.
0.GEP.Cumulus.Reports.P2P.Resources.en-US,P2P_PO_InternalChangeOrder,14/09/2016,Internal Change Order
0.GEP.Cumulus.Reports.P2P.Resources.en-US,P2P_PO_InternalChangeOrderCreatedSuccessfully,14/09/2016,The Internal Change Order is created.
0.GEP.Cumulus.Reports.P2P.Resources.en-US,P2P_PO_ErrorOccuredWhileCreatingInternalChangeOrder,14/09/2016,An internal error occurred while creating the Change Order. Contact the helpdesk.
0.GEP.Cumulus.Reports.P2P.Resources.en-US,P2P_PO_RevokeExternalChangeOrder,14/09/2016,Revoke External Change Order
0.GEP.Cumulus.Reports.P2P.Resources.en-US,P2P_PO_RevokeInternalChangeOrder,14/09/2016,Revoke Internal Change Order
0.GEP.Cumulus.Reports.P2P.Resources.en-US,P2P_PO_RevokeConfirmation,14/09/2016,Do you want to revoke changes?
0.GEP.Cumulus.Reports.P2P.Resources.en-US,P2P_PO_ExternalChangeOrderRevokedSuccessfully,14/09/2016,The External Change Order is revoked.
0.GEP.Cumulus.Reports.P2P.Resources.en-US,P2P_PO_InternalChangeOrderRevokedSuccessfully,14/09/2016,The Internal Change Order is revoked.
0.GEP.Cumulus.Reports.P2P.Resources.en-US,P2P_PO_ErrorOccuredWhileRevokingExternalChangeOrder,14/09/2016,An internal error occurred while revoking the External Change Order. Contact the helpdesk.
